date,Player,Sport,Prop,Original,Discounted,Percentage,Actual,Win
"Mar 14, 2024 · 7:10 PM UTC",Shai Gilgeous Alexander,NBA,PTS,30.5,23.5,22.95,5,WIN
"Mar 13, 2024 · 7:10 PM UTC",Luka Doncic,NBA,PTS,34.5,27.5,20.29,5,LOSS
"Mar 6, 2024 · 7:19 PM UTC",D'Angelo Russell,NBA,PTS,17.5,13.5,22.86,5,WIN
"Mar 6, 2024 · 7:19 PM UTC",James Harden,NBA,PTS,17.5,13.5,22.86,5,LOSS
"Mar 3, 2024 · 1:42 PM UTC",Sidney Crosby,NHL,SOG,3.5,2.5,28.57,5,WIN
"Mar 3, 2024 · 1:42 PM UTC",Victor Wembanyama,NBA,PTS,24.5,19.5,20.41,5,LOSS
"Feb 28, 2024 · 8:36 PM UTC",Domantis Sabonis,NBA,PTS + REB,31.5,25.5,19.05,5,WIN
"Feb 28, 2024 · 6:19 PM UTC",Kawhi Leonard,NBA,PTS,26.5,20.5,22.64,5,LOSS
"Feb 25, 2024 · 9:18 PM UTC",Steph Curry,NBA,PTS,26.5,21.5,18.87,5,WIN
"Feb 25, 2024 · 9:18 PM UTC",Shai Gilgeous Alexander,NBA,PTS,31.5,25.5,19.05,5,LOSS
"Feb 22, 2024 · 9:18 PM UTC",Luka Doncic,NBA,PTS,30.5,8.5,72.13,5,WIN
"Feb 21, 2024 · 9:18 PM UTC",S Montembeault,NHL,SV,29.5,23.5,20.34,5,LOSS
"Feb 21, 2024 · 9:18 PM UTC",Stuart Skinner,NHL,SV,25.5,20.5,19.61,5,WIN
"Feb 16, 2024 · 8:21 PM UTC",Rob Dillingham,NCAAM,PTS,13.5,10.5,22.22,5,LOSS
"Feb 16, 2024 · 8:21 PM UTC",Jared McCain,NCAAM,PTS,13.5,10.5,22.22,5,WIN
"Feb 14, 2024 · 8:21 PM UTC",Luka Doncic,NBA,PTS,32.5,26.5,18.46,5,LOSS
"Feb 14, 2024 · 8:21 PM UTC",Devin Booker,NBA,PTS,26.5,22.5,15.09,5,WIN
"Feb 13, 2024 · 8:08 PM UTC",Kevin Durant,NBA,PTS,26.5,21.5,18.87,5,LOSS
"Feb 12, 2024 · 8:08 PM UTC",Steph Curry,NBA,PTS,29.5,20.5,30.51,5,WIN
"Feb 7, 2024 · 8:08 PM UTC",Jonathan Kuminga,NBA,PTS,19.5,14.5,25.64,5,LOSS
"Feb 7, 2024 · 5:19 PM UTC",Jayson Tatum,NBA,PTS,27.5,20.5,25.45,5,WIN
"Feb 4, 2024 · 4:05 PM UTC",Jamal Murray,NBA,PTS,22.5,17.5,22.22,5,LOSS
"Feb 4, 2024 · 4:05 PM UTC",Alperen Sengun,NBA,PTS,20.5,16.5,19.51,5,WIN
"Jan 31, 2024 · 8:10 PM UTC",Anthony Edwards,NBA,PTS,27.5,22.5,18.18,5,LOSS
"Jan 31, 2024 · 5:52 PM UTC",Victor Wembanyama,NBA,PTS,25.5,19.5,23.53,5,WIN
"Jan 24, 2024 · 11:05 PM UTC",Christian McCaffrey,NFL,RUSH YDS,88.5,69.5,21.47,5,LOSS
"Jan 24, 2024 · 8:06 PM UTC",Lamar Jackson,NFL,PASS YDS,211.5,168.5,20.33,5,WIN
"Jan 24, 2024 · 5:29 PM UTC",Luka Doncic,NBA,PTS,33.5,26.5,20.9,5,LOSS
